site,year,shiner
1_3,1,1
10_1,1,1
11_1,1,0
12_4,1,1
13_10,1,1
14_1,1,1
15_1,1,1
16_1,1,1
17_1,1,1
18_3,1,1
19_1,1,0
2_1,1,1
20_8,1,1
3_1,1,1
4_1,1,1
5_10,1,1
6_2,1,1
7_1,1,1
8_1,1,1
9_1,1,1
181_3,10,1
182_1,10,0
183_1,10,0
184_7,10,1
185_1,10,0
186_1,10,0
187_1,10,0
188_2,10,1
189_2,10,1
190_7,10,1
191_2,10,1
192_1,10,1
193_1,10,1
194_1,10,1
195_1,10,0
196_1,10,0
197_1,10,0
198_1,10,0
199_1,10,0
200_1,10,0
201_1,11,0
202_3,11,1
203_1 ,11,0
204_3,11,1
205_1,11,1
206_1,11,1
207_1,11,1
208_1,11,1
209_1 ,11,1
210_1,11,0
211_1,11,1
212_1,11,0
213_1,11,0
214_1,11,1
215_1,11,0
216_1,11,1
217_1,11,0
218_1,11,1
219_1,11,1
220_1,11,1
221_1 ,12,0
222_1,12,1
223_1,12,1
224_1,12,1
225_1,12,1
226_3 ,12,1
227_1,12,1
228_2,12,1
229_4 ,12,1
230_1,12,1
231_4 ,12,1
232_1,12,1
233_1 ,12,0
234_2,12,1
235_1,12,1
236_1,12,1
237_1,12,1
238_1,12,1
239_1,12,1
240_1,12,1
241_1 ,13,0
242_1,13,1
243_1,13,0
244_1,13,1
245_1,13,1
246_5 ,13,1
247_1 ,13,0
248_1,13,1
249_1 ,13,0
250_1 ,13,0
251_1,13,1
252_1 ,13,0
253_1 ,13,0
254_4 ,13,1
255_1,13,1
256_1,13,1
257_1,13,1
258_3,13,1
259_1,13,1
260_1,13,0
261_5,14,1
262_1,14,0
263_1 ,14,0
264_1,14,1
265_1,14,1
266_2,14,1
267_1,14,1
268_5,14,1
269_10 ,14,1
270_1,14,1
271_1,14,1
272_1,14,0
273_1,14,1
274_1,14,1
275_1,14,1
276_1 ,14,0
277_1 ,14,0
278_1 ,14,0
279_3,14,1
280_2,14,1
281_1,15,0
282_1,15,1
283_1,15,1
284_1,15,0
285_1,15,1
286_5,15,1
287_1,15,1
288_1,15,1
289_1,15,1
290_1,15,0
291_1,15,0
292_1,15,1
293_1,15,0
294_4,15,1
295_1,15,1
296_1,15,0
297_2,15,1
298_1,15,0
299_8,15,1
300_2,15,1
21_1,2,0
22_1,2,1
23_2,2,1
24_1,2,1
25_1,2,0
26_1,2,1
27_1,2,1
28_3,2,1
29_1,2,1
30_1,2,1
31_1,2,0
32_1,2,1
33_10,2,0
34_1,2,1
35_1,2,1
36_3,2,1
37_1,2,1
38_5,2,1
39_2,2,1
40_9,2,1
41_1,3,0
42_2,3,1
43_1,3,0
44_6,3,1
45_1,3,1
46_1,3,1
47_1,3,1
48_1,3,1
49_2,3,1
50_1,3,1
51_4,3,1
52_2,3,1
53_2,3,1
54_1,3,1
55_1,3,1
56_3,3,1
57_1,3,1
58_2,3,1
59_7,3,1
60_1,3,1
61_1,4,0
62_1,4,0
63_1,4,0
64_1,4,0
65_1,4,1
66_1,4,0
67_1,4,1
68_1,4,1
69_1,4,1
70_1,4,1
71_1,4,0
72_1,4,1
73_1,4,1
74_1,4,1
75_1,4,1
76_3,4,1
77_1,4,0
78_2,4,1
79_1,4,0
80_2,4,1
100_1,5,1
81_8,5,1
82_1,5,0
83_1,5,1
84_1,5,1
85_1,5,1
86_1,5,1
87_1,5,1
88_1,5,1
89_1,5,0
90_1,5,0
91_1,5,1
92_1,5,0
93_1,5,1
94_1,5,1
95_1,5,1
96_4,5,1
97_1,5,1
98_2,5,1
99_1,5,1
101_1,6,1
102_2,6,1
103_1,6,0
104_1,6,1
105_1,6,1
107_4,6,1
108_2,6,1
109_1,6,1
110_1,6,0
111_2,6,1
112_1,6,1
113_1,6,1
114_1,6,0
115_1,6,1
116_4,6,1
117_1,6,1
118_1,6,0
119_1,6,1
120_1,6,1
121_1,7,0
122_1,7,0
123_1,7,1
124_1,7,0
125_6,7,1
126_2,7,1
127_3,7,1
127_3,7,1
128_1,7,0
129_1,7,0
130_4,7,1
131_1,7,0
132_1,7,0
133_3,7,1
134_1,7,1
135_1,7,1
136_1,7,1
137_2,7,1
138_1,7,1
139_1,7,1
140_1,7,0
142_1,8,0
143_1,8,0
144_1,8,0
145_6,8,1
146_1,8,0
147_1,8,0
148_4,8,1
149_4,8,1
150_4,8,1
151_1,8,1
152_1,8,0
153_1,8,0
154_1,8,0
155_1,8,0
156_1,8,1
157_1,8,0
158_1,8,0
159_12,8,1
160_1,8,0
101_1,9,1
104_1,9,1
108_2,9,1
109_1,9,1
112_1,9,1
113_1,9,0
115_1,9,1
119_1,9,1
120_1,9,1
123_1,9,0
127_3,9,1
135_1,9,1
141_2,9,1
161_1,9,0
162_1,9,0
163_1,9,0
164_1,9,0
165_1,9,0
166_1,9,0
167_1,9,0
168_1,9,1
169_2,9,1
170_1,9,0
171_1,9,0
172_1,9,0
173_1,9,0
174_2,9,1
175_8,9,1
176_1,9,0
177_1,9,0
178_1,9,0
179_1,9,0
180_1,9,1
83_1,9,0
84_1,9,0
85_1,9,0
86_1,9,1
87_1,9,1
88_1,9,0
91_1,9,1
94_1,9,1
95_1,9,1
96_4,9,0
97_1,9,0
98_2,9,0
99_1,9,1
