lat,long,occurrence,year,site
43.514,-96.341,0,2017,1
43.515,-96.058,0,2017,2
43.529,-96.033,1,2017,3
43.531,-96.332,0,2017,4
43.535,-95.994,0,2017,5
43.543,-96.313,0,2017,6
43.544,-96.341,0,2016,7
43.544,-96.178,0,2016,8
43.573,-95.757,0,2017,9
43.583,-95.754,1,2018,10
43.586,-95.754,0,2018,11
43.615,-96.352,1,2017,12
43.623,-95.994,0,2016,13
43.637,-95.961,0,2016,14
43.639,-95.959,0,2016,15
43.641,-95.916,0,2015,16
43.643,-95.943,0,2017,17
43.644,-95.96,0,2016,18
43.644,-95.94,1,2018,19
43.645,-95.935,1,2016,20
43.646,-96.201,1,2017,21
43.648,-96.2,1,2015,22
43.649,-96.199,1,2018,23
43.652,-95.931,0,2016,24
43.653,-96.193,0,2016,25
43.655,-95.894,0,2016,26
43.656,-96.198,1,2016,27
43.658,-95.93,0,2016,28
43.671,-96.065,0,2017,29
43.672,-96.073,1,2016,30
43.672,-96.072,0,2017,31
43.672,-96.066,1,2017,32
43.674,-95.778,0,2018,33
43.677,-96.291,1,2016,34
43.678,-96.166,0,2015,35
43.679,-95.779,0,2018,36
43.683,-96.193,1,2015,37
43.687,-95.991,0,2016,38
43.688,-95.986,0,2016,39
43.7,-96.154,1,2017,40
43.703,-96.268,1,2017,41
43.704,-96.268,1,2018,42
43.704,-96.157,1,2016,43
43.705,-96.267,1,2018,44
43.707,-96.266,1,2018,45
43.707,-96.157,1,2016,46
43.712,-96.239,1,2016,47
43.714,-96.174,0,2015,48
43.714,-96.173,1,2016,49
43.717,-96.186,1,2017,50
43.718,-96.077,1,2016,51
43.719,-96.076,0,2017,52
43.725,-95.872,0,2017,53
43.726,-96.292,1,2015,54
43.726,-96.066,0,2016,55
43.727,-96.065,0,2015,56
43.728,-96.06,0,2015,57
43.728,-96.058,0,2016,58
43.729,-96.294,1,2015,59
43.729,-96.268,1,2015,60
43.729,-96.058,0,2015,61
43.73,-96.293,1,2016,62
43.731,-96.292,0,2017,63
43.731,-96.27,1,2017,64
43.733,-96.269,1,2016,65
43.739,-96.262,0,2017,66
43.741,-96.263,1,2017,67
43.745,-96.261,1,2017,68
43.761,-96.452,1,2016,69
43.761,-96.09,1,2017,70
43.761,-96.05,1,2016,71
43.762,-96.447,1,2016,72
43.762,-96.364,1,2018,73
43.762,-96.09,1,2016,74
43.763,-96.049,0,2017,75
43.764,-96.087,0,2017,76
43.765,-96.447,1,2015,77
43.765,-96.445,0,2015,78
43.768,-96.444,1,2015,79
43.768,-95.872,0,2017,80
43.782,-96.141,0,2016,81
43.819,-96.416,1,2018,82
43.819,-96.084,0,2019,83
43.835,-96.416,1,2017,84
43.845,-96.316,1,2016,85
43.865,-96.204,1,2016,86
43.866,-96.205,1,2016,87
43.867,-96.204,1,2015,88
43.867,-96.199,1,2015,89
43.87,-96.205,1,2015,90
43.885,-96.096,1,2017,91
43.893,-96.168,1,2015,92
43.893,-96.16,1,2016,93
43.896,-96.164,1,2016,94
43.897,-96.16,1,2016,95
43.929,-96.185,1,2016,96
43.949,-96.029,1,2019,97
44.015,-96.318,0,2016,98
44.023,-96.33,1,2018,99
44.023,-96.329,1,2016,100
44.082,-96.441,0,2018,101
44.082,-96.307,0,2018,102
44.085,-96.44,0,2018,103
44.085,-96.287,1,2018,104
44.086,-96.293,0,2018,105
44.088,-96.44,1,2018,106
44.094,-96.436,1,2018,107
44.111,-96.338,1,2017,108
44.115,-96.403,0,2019,109
44.129,-96.445,0,2017,110
44.13,-96.441,0,2017,111
44.131,-96.447,0,2016,112
44.131,-96.445,0,2016,113
44.136,-96.254,0,2018,114
44.138,-96.254,0,2018,115
44.15,-96.415,1,2017,116
44.151,-96.416,1,2016,117
44.153,-96.282,0,2015,118
44.153,-96.281,0,2016,119
44.154,-96.234,0,2017,120
